fw_ID,model,S,connectance,mx_tl,intervality,isolated,illogical
adbm_64_10,ADBM,9,0.1111111111111111,3.0,0,0,0
adbm_64_20,ADBM,2,0.25,2.0,0,0,0
adbm_64_40,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_65_10,ADBM,7,0.14285714285714285,3.333333333333333,0,0,0
adbm_65_20,ADBM,6,0.2777777777777778,2.7333333333333334,0,0,0
adbm_65_40,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_66_10,ADBM,5,0.32,2.583333333333333,0,0,0
adbm_66_20,ADBM,2,0.25,2.0,0,0,0
adbm_66_40,ADBM,12,0.06944444444444445,5.0,0,0,0
adbm_67_10,ADBM,6,0.25,2.466666666666667,0,0,0
adbm_67_20,ADBM,14,0.09693877551020408,3.0,0,0,0
adbm_67_40,ADBM,12,0.0625,3.0,0,0,0
adbm_68_10,ADBM,2,0.25,2.0,0,0,0
adbm_68_20,ADBM,9,0.14814814814814814,3.2,0,0,0
adbm_68_40,ADBM,7,0.10204081632653061,3.0,0,0,0
adbm_69_10,ADBM,2,0.25,2.0,0,0,0
adbm_69_20,ADBM,,,,,,
adbm_69_40,ADBM,4,0.125,2.0,0,0,0
adbm_6_10,ADBM,6,0.1111111111111111,3.0,0,0,0
adbm_6_20,ADBM,4,0.125,2.0,0,0,0
adbm_6_40,ADBM,10,0.06,3.0,0,0,0
adbm_70_10,ADBM,,,,,,
adbm_70_20,ADBM,8,0.078125,3.0,0,0,0
adbm_70_40,ADBM,,,,,,
adbm_71_10,ADBM,2,0.25,2.0,0,0,0
adbm_71_20,ADBM,2,0.25,2.0,0,0,0
adbm_71_40,ADBM,12,0.06944444444444445,3.5,0,0,0
adbm_72_10,ADBM,2,0.25,2.0,0,0,0
adbm_72_20,ADBM,2,0.25,2.0,0,0,0
adbm_72_40,ADBM,8,0.109375,3.0,0,0,0
adbm_73_10,ADBM,2,0.25,2.0,0,0,0
adbm_73_20,ADBM,4,0.25,3.0,0,0,0
adbm_73_40,ADBM,,,,,,
adbm_74_10,ADBM,6,0.1388888888888889,3.0,0,0,0
adbm_74_20,ADBM,8,0.140625,4.333333333333333,0,0,0
