fw_ID,model,S_equ,connectance_equ,prop_basal_equ,mx_tl_equ,mean_FCL_equ,closed_loops_equ,isolated_equ,illogical_equ
ltm_laura_86,LTM_Laura,6,0.3333333333333333,0.0,1.472222222222222,NaN,3,0,
ltm_laura_87,LTM_Laura,9,0.16049382716049382,0.0,1.308641975308642,NaN,1,0,
ltm_laura_88,LTM_Laura,13,0.15976331360946747,0.15384615384615385,1.2544378698224852,3.742857142857143,2,0,
ltm_laura_89,LTM_Laura,8,0.296875,0.0,1.5,NaN,2,0,
ltm_laura_9,LTM_Laura,11,0.12396694214876033,0.36363636363636365,1.1404958677685952,1.4615384615384615,0,0,
ltm_laura_90,LTM_Laura,5,0.24,0.2,1.32,2.0,0,0,
ltm_laura_91,LTM_Laura,4,0.25,0.0,1.3125,NaN,1,0,
ltm_laura_92,LTM_Laura,10,0.17,0.0,1.28,NaN,6,0,
ltm_laura_93,LTM_Laura,13,0.10650887573964497,0.23076923076923078,1.1775147928994083,2.5714285714285716,1,0,
ltm_laura_94,LTM_Laura,12,0.1388888888888889,0.0,1.2291666666666667,NaN,2,0,
ltm_laura_95,LTM_Laura,6,0.3055555555555556,0.16666666666666666,1.4444444444444444,3.0,1,0,
ltm_laura_96,LTM_Laura,10,0.11,0.2,1.16,1.0,2,0,
ltm_laura_97,LTM_Laura,2,0.25,0.5,1.25,1.0,0,0,
ltm_laura_98,LTM_Laura,12,0.09722222222222222,0.16666666666666666,1.1458333333333333,2.6666666666666665,0,0,
ltm_laura_99,LTM_Laura,14,0.11734693877551021,0.14285714285714285,1.204081632653061,3.9545454545454546,2,0,
maxent_1,MaxEnt,11,0.1322314049586777,0.18181818181818182,1.2066115702479339,5.125,2,0,
maxent_10,MaxEnt,7,0.12244897959183673,0.42857142857142855,1.1224489795918366,1.0,0,0,
maxent_100,MaxEnt,15,0.21333333333333335,0.06666666666666667,1.4444444444444444,5.742857142857143,127,0,
maxent_11,MaxEnt,7,0.24489795918367346,0.14285714285714285,1.5102040816326527,3.357142857142857,1,0,
maxent_12,MaxEnt,11,0.2231404958677686,0.2727272727272727,1.43801652892562,3.3684210526315788,22,0,
maxent_13,MaxEnt,4,0.1875,0.5,1.1875,1.0,0,0,
maxent_14,MaxEnt,7,0.16326530612244897,0.42857142857142855,1.2040816326530612,1.3333333333333333,0,0,
maxent_15,MaxEnt,5,0.16,0.2,1.2,1.6666666666666667,0,0,
maxent_16,MaxEnt,5,0.2,0.4,1.2,NaN,1,0,
maxent_17,MaxEnt,2,0.25,0.5,1.25,1.0,0,0,
maxent_18,MaxEnt,6,0.16666666666666666,0.3333333333333333,1.1944444444444444,1.2,0,0,
maxent_19,MaxEnt,14,0.14795918367346939,0.2857142857142857,1.1989795918367345,3.8846153846153846,5,0,
maxent_2,MaxEnt,6,0.16666666666666666,0.3333333333333333,1.1944444444444444,1.2,0,0,
maxent_20,MaxEnt,0,0.0,0.0,NaN,NaN,0,0,
maxent_21,MaxEnt,15,0.1288888888888889,0.26666666666666666,1.4577777777777778,4.2272727272727275,13,0,
maxent_22,MaxEnt,7,0.2857142857142857,0.0,1.5102040816326527,NaN,3,0,
maxent_23,MaxEnt,0,0.0,0.0,NaN,NaN,0,0,
maxent_24,MaxEnt,3,0.2222222222222222,0.3333333333333333,1.3333333333333333,2.0,0,0,
maxent_25,MaxEnt,5,0.16,0.2,1.28,2.5,0,0,
maxent_26,MaxEnt,12,0.13194444444444445,0.25,1.2083333333333333,2.4210526315789473,0,0,
maxent_27,MaxEnt,4,0.125,0.5,1.125,1.0,0,0,
maxent_28,MaxEnt,6,0.16666666666666666,0.0,1.3333333333333333,NaN,1,0,
maxent_29,MaxEnt,14,0.15816326530612246,0.07142857142857142,1.306122448979592,4.75,26,0,
maxent_3,MaxEnt,5,0.24,0.2,1.3599999999999999,2.25,0,0,
maxent_30,MaxEnt,5,0.12,0.6,1.12,1.0,0,0,
maxent_31,MaxEnt,3,0.2222222222222222,0.3333333333333333,1.3333333333333333,2.0,0,0,
maxent_32,MaxEnt,10,0.12,0.3,1.15,1.5555555555555556,0,0,
