fw_ID,model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
niche_62,Niche,11,0.17355371900826447,0.8997788228880228,1.2809917355371903,0.757427320027946,0.9502356790843989,0.2727272727272727,2.6774193548387095,3.0,1.2297297297297296,0.3255411255411256,0.17042207482934285
niche_63,Niche,6,0.16666666666666666,0.946394630357186,1.222222222222222,0.8944271909999159,0.8944271909999159,0.3333333333333333,2.0,2.0,0.9999999999999999,0.0,0.17213259316477406
niche_64,Niche,3,0.2222222222222222,1.0,1.3333333333333333,0.8660254037844386,0.8660254037844386,0.3333333333333333,2.0,2.0,0.5,0.0,0.0
niche_65,Niche,11,0.14049586776859505,0.9360208675095046,1.231404958677686,0.836866787942529,0.9315686068154895,0.2727272727272727,2.4285714285714284,1.0,0.9130434782608695,0.20606060606060603,0.19078809509236747
niche_66,Niche,7,0.20408163265306123,0.9594099683611209,1.346938775510204,0.8906926143924926,0.6831300510639733,0.14285714285714285,3.0,3.0,1.3519999999999999,0.4285714285714285,0.2841225502890724
niche_67,Niche,3,0.2222222222222222,NaN,1.222222222222222,0.8660254037844386,1.7320508075688772,0.6666666666666666,1.0,2.0,0.5,0.0,0.0
niche_68,Niche,10,0.16,0.93627266589532,1.23,1.1102427162061856,0.60380736442456,0.1,2.8,2.0,1.127659574468085,0.20666666666666664,0.2725649769626808
niche_69,Niche,8,0.109375,0.9437775046596898,1.109375,0.7324227936704637,2.0659674669132677,0.75,1.0,2.0,0.45454545454545453,0.0,0.060993754559283325
niche_7,Niche,7,0.14285714285714285,0.8866149078058183,1.163265306122449,1.8257418583505538,0.816496580927726,0.2857142857142857,1.1666666666666667,2.0,2.181818181818182,0.3,0.33863614869805836
niche_70,Niche,8,0.21875,0.8896661186117004,1.296875,1.1326070959601313,0.9035079029052513,0.25,1.7692307692307692,2.0,0.8461538461538461,0.3416666666666667,0.39441499313944295
niche_71,Niche,9,0.16049382716049382,0.9367137697439714,1.2345679012345678,1.044852131323548,1.1538461538461537,0.4444444444444444,1.6,2.0,0.6363636363636364,0.39999999999999997,0.2979830903377831
niche_72,Niche,11,0.17355371900826447,0.9164353512645712,1.2396694214876034,1.2927497105236407,0.6811355065119514,0.18181818181818182,2.0555555555555554,2.0,1.9686746987951809,0.3619047619047619,0.3801965149813127
niche_73,Niche,12,0.2013888888888889,0.8688136193472615,1.3472222222222223,1.050657252176038,0.7580505124309475,0.25,3.26,2.0,1.0168067226890756,0.7574074074074074,0.5072173407532613
niche_74,Niche,6,0.16666666666666666,0.946394630357186,1.2222222222222223,1.0954451150103321,1.0954451150103321,0.3333333333333333,1.5,2.0,0.8000000000000002,0.27777777777777773,0.2509242175696936
niche_75,Niche,6,0.1388888888888889,0.9182958340544894,1.25,0.4898979485566356,1.9224983745116666,0.6666666666666666,2.0,1.0,0.9999999999999999,0.0,1.0007415106216802e-16
niche_76,Niche,7,0.16326530612244897,0.9268073413995943,1.2653061224489794,0.60380736442456,1.0631125685144227,0.42857142857142855,2.0,3.0,0.5555555555555555,0.0,0.15272070966424256
niche_77,Niche,10,0.17,0.9273778914721051,1.2999999999999998,1.0394006494665544,0.5580489988532433,0.1,2.888888888888889,3.0,1.0408163265306123,0.30333333333333334,0.4220921282207029
niche_78,Niche,7,0.10204081632653061,0.9666959300280741,1.1224489795918366,0.6831300510639732,1.5577761927397231,0.5714285714285714,1.25,2.0,0.4,0.0,0.0
niche_79,Niche,11,0.10743801652892562,0.9751500084745668,1.1652892561983472,0.8306267684118824,0.6352560868326946,0.18181818181818182,2.888888888888889,4.0,1.4033613445378148,0.0,0.08734262934822935
niche_8,Niche,4,0.1875,0.9786600843501594,1.3125,0.6666666666666667,1.2765694770084508,0.5,2.0,2.0,0.3333333333333333,0.0,0.0
niche_80,Niche,6,0.2777777777777778,0.8575931136138029,1.388888888888889,0.9797958971132711,0.8197560612767678,0.3333333333333333,2.1666666666666665,2.0,1.8800000000000001,0.6944444444444445,0.39283710065919303
niche_81,Niche,3,0.2222222222222222,NaN,1.222222222222222,0.8660254037844386,1.7320508075688772,0.6666666666666666,1.0,2.0,0.5,0.0,0.0
niche_82,Niche,7,0.20408163265306123,0.9301664549111549,1.3061224489795917,1.058300524425836,0.7937253933193772,0.2857142857142857,2.142857142857143,2.0,1.028985507246377,0.21904761904761902,0.44696000115265966
niche_83,Niche,9,0.20987654320987653,0.865849260345602,1.2962962962962963,1.0402787755192584,0.6176470588235294,0.2222222222222222,2.210526315789474,3.0,1.892857142857143,0.3814814814814815,0.25297790684319155
niche_84,Niche,5,0.24,0.9786600843501595,1.3199999999999998,0.9128709291752769,0.6972166887783964,0.2,2.0,2.0,1.1428571428571428,0.0,1.1644117316690923e-16
niche_85,Niche,13,0.16568047337278108,0.8364573324990091,1.1893491124260356,0.9059750638547017,1.41646657250371,0.6153846153846154,1.1481481481481481,2.0,2.1967213114754096,0.08205128205128205,0.12360489118284512
niche_86,Niche,10,0.24,0.8489990387082245,1.4,1.097134314340639,0.7401618108041238,0.3,1.875,2.0,2.6869056327724943,0.35190476190476183,0.3848348036326192
niche_87,Niche,10,0.1,0.9693486500234422,1.15,1.0540925533894598,0.816496580927726,0.3,2.25,2.0,2.045685279187817,0.3,0.16363916944844772
niche_88,Niche,10,0.09,0.9756924513643055,1.1199999999999999,0.8198497637473576,0.8198497637473576,0.3,3.7142857142857144,1.0,1.9220779220779218,0.0,0.1763834207376393
niche_89,Niche,7,0.10204081632653061,0.9909839046364357,1.1428571428571428,1.058300524425836,0.6831300510639732,0.2857142857142857,1.6666666666666667,2.0,1.4705882352941178,0.0,0.12777531299998804
niche_9,Niche,6,0.1388888888888889,0.8648264518457696,1.138888888888889,0.9033271832508972,1.9224983745116666,0.6666666666666666,1.0,2.0,0.7142857142857142,0.0,0.0912870929175276
niche_90,Niche,5,0.12,0.9999999999999998,1.16,0.9128709291752769,0.9128709291752769,0.4,1.5,3.0,1.1428571428571428,0.0,0.0
niche_91,Niche,6,0.1388888888888889,NaN,1.138888888888889,0.4898979485566356,2.449489742783178,0.8333333333333334,1.0,2.0,0.2,0.0,0.0
niche_92,Niche,7,0.1836734693877551,0.9160645519366079,1.2857142857142858,1.163576153511482,0.5879447357921311,0.14285714285714285,2.3333333333333335,2.0,2.5,0.20476190476190476,0.26726124191242434
niche_93,Niche,6,0.3611111111111111,0.8444707145922874,1.611111111111111,0.7949545035546963,0.6793662204867575,0.16666666666666666,2.8181818181818183,3.0,1.1818181818181819,0.8222222222222221,0.3958473906635695
niche_94,Niche,10,0.15,0.9181267951923283,1.2,1.1439589045541112,0.7200822998230956,0.2,2.5625,2.0,1.9702970297029703,0.5952380952380952,0.26457513110645914
