fw_ID,model,richness,connectance,complexity,max_trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence,S_initial,connectance_initial,prop_basal_initial,mx_tl_initial,mean_FCL_initial,closed_loops_initial,isolated_initial,illogical_initial
adbm_57,ADBM,15,0.16444444444444445,0.8591666136517682,4.0,1.4845547293526382,0.7327265790122138,0.13333333333333333,3.723404255319149,3.0,3.4834055767613377,0.565983645983646,1.1773531432709234,15,0.16444444444444445,0.13333333333333333,4.0,3.723404255319149,0,1,2
niche_57,Niche,15,0.05333333333333334,0.9527946590782035,3.0,1.352906923205415,1.1764049351429002,0.5333333333333333,1.0769230769230769,2.0,2.913043478260869,0.0,1.1595901302887535e-16,15,0.05333333333333334,0.5333333333333333,3.0,1.0769230769230769,0,3,
cascade_57,Cascade,15,0.07555555555555556,0.9460900703853243,3.0,0.9353813182752523,0.8739091781223748,0.3333333333333333,1.6666666666666667,2.0,1.2113022113022112,0.06666666666666667,0.338501600193165,15,0.07555555555555556,0.3333333333333333,3.0,1.6666666666666667,0,0,
random_57,Random,15,0.057777777777777775,0.9690885654460929,4.25,0.8575654072583151,1.056317788193223,0.4,2.3636363636363638,1.0,1.295918367346939,0.1,0.3423265984407288,15,0.057777777777777775,0.4,4.25,2.3636363636363638,0,2,
maxent_57,MaxEnt,15,0.057777777777777775,0.9287918215896109,2.5,1.681534138317236,1.6239958858823003,0.5333333333333333,0.875,2.0,2.846153846153846,0.09555555555555556,0.2041241452319315,15,0.057777777777777775,0.5333333333333333,2.5,0.875,0,4,
ltm_58,LTM,15,0.3111111111111111,0.868349146480467,8.552923310968806,0.4836993018159727,0.4182428884065142,0.0,NaN,2.0,2.37158777392493,0.6240211640211639,2.312346254879293,15,0.3111111111111111,0.0,8.552923310968806,NaN,11462,0,0
ltm_laura_58,LTM_Laura,15,0.13333333333333333,0.9344022011887924,5.525252525252524,0.823754471047914,0.7559289460184544,0.13333333333333333,4.6,1.0,2.615840826477904,0.34793650793650793,1.0922242818514847,15,0.13333333333333333,0.13333333333333333,5.525252525252524,4.6,4,1,2
atn_58,ATN,15,0.12,0.9601614759439341,4.5,0.9437439045203014,0.7628961803617725,0.13333333333333333,4.0,4.0,2.4815111849454357,0.20507936507936508,0.5951190357119042,15,0.12,0.13333333333333333,4.5,4.0,0,0,2
adbm_58,ADBM,15,0.24888888888888888,0.8363841135154657,3.6525000000000003,0.9994987810953442,0.8794918026359257,0.06666666666666667,4.37948717948718,4.0,2.3767380269256235,0.7180423280423281,0.7472311516119987,15,0.24888888888888888,0.06666666666666667,3.6525000000000003,4.37948717948718,0,0,1
niche_58,Niche,15,0.28444444444444444,0.8272300156130158,3.4339814814814815,0.8237333010988968,0.7541042832985937,0.2,3.5205047318611986,3.0,4.293308890925755,0.723009953009953,0.6254920165625503,15,0.28444444444444444,0.2,3.4339814814814815,3.5205047318611986,0,0,
cascade_58,Cascade,15,0.26222222222222225,0.8756301266591274,3.7814814814814817,0.7156592039481324,0.7594765927098841,0.13333333333333333,4.2844827586206895,3.0,3.5773291207521,0.49980759980759976,0.7413687769446419,15,0.26222222222222225,0.13333333333333333,3.7814814814814817,4.2844827586206895,0,0,
