model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
adbm_6,12,0.11805555555555555,0.9156783735764501,1.173611111111111,1.3942767119707198,0.8753734654391615,0.25,3.5,2.0,1.7480916030534348,0.4388888888888889,0.29462782549439476
adbm_60,7,0.16326530612244897,0.8771987175002514,1.2244897959183674,1.1770372409854613,1.0631125685144227,0.42857142857142855,1.7142857142857142,2.0,1.763157894736842,0.23809523809523808,0.17074694419062766
adbm_61,4,0.0,0.0,1.0,NaN,NaN,1.0,0.0,1.0,NaN,0.0,NaN
adbm_62,10,0.18,0.8456692359429988,1.2599999999999998,0.9728833730787924,1.104921028901948,0.4,1.8421052631578947,2.0,1.9268292682926826,0.45666666666666667,0.19844164121302835
adbm_63,8,0.125,0.9250071329547135,1.1875,1.0690449676496976,1.0690449676496976,0.375,1.6666666666666667,2.0,1.0869565217391304,0.5,0.18824257716346443
adbm_64,7,0.10204081632653061,0.9666959300280741,1.1224489795918366,1.5577761927397231,0.6831300510639732,0.2857142857142857,1.25,2.0,2.0,0.0,0.15649215928719037
adbm_65,6,0.1111111111111111,0.9870558585867127,1.138888888888889,0.7745966692414834,1.224744871391589,0.5,1.3333333333333333,2.0,0.8000000000000002,0.0,1.1102230246251565e-16
adbm_66,8,0.15625,0.9266775310118471,1.265625,1.3352367366340483,0.828078671210825,0.25,1.8571428571428572,2.0,1.3188405797101448,0.3833333333333333,0.4743416490252569
adbm_67,8,0.15625,0.9334539932971753,1.234375,0.931971796017148,0.828078671210825,0.25,2.3333333333333335,2.0,1.0000000000000002,0.24999999999999997,0.16666666666666666
adbm_68,10,0.12,0.9396322579081337,1.1900000000000002,1.3494397557212356,0.6573421981221795,0.2,2.25,4.0,2.3898305084745757,0.31333333333333335,0.2844452335847639
adbm_69,12,0.2013888888888889,0.8450914366092889,1.423611111111111,1.1764635937401366,0.8361624588263545,0.25,3.275,3.0,2.8675022381378694,0.48710317460317465,0.4862117731416461
adbm_7,6,0.08333333333333333,0.8504896251021615,1.1111111111111112,1.6733200530681511,1.6733200530681511,0.6666666666666666,0.6,2.0,2.9999999999999996,0.5,0.16666666666666663
adbm_70,10,0.18,0.8856150875613805,1.28,1.1944085553034887,0.7768954430890012,0.2,3.933333333333333,4.0,2.1669865642994246,0.5433333333333333,0.35183923839333586
adbm_71,4,0.0,0.0,1.0,NaN,NaN,1.0,0.0,1.0,NaN,0.0,NaN
adbm_72,6,0.08333333333333333,0.9786600843501594,1.0833333333333335,1.0954451150103321,1.6733200530681511,0.6666666666666666,0.75,2.0,1.0,0.0,0.0
adbm_73,9,0.1111111111111111,0.9507421655421545,1.1358024691358024,1.3228756555322954,0.7071067811865476,0.2222222222222222,1.6666666666666667,2.0,1.4,0.3333333333333333,0.23642861731117973
adbm_74,10,0.21,0.8066090648091476,1.44,1.1761037176408065,0.9377178087455192,0.4,2.642857142857143,2.0,3.918032786885246,0.5933333333333334,0.41063249703238
adbm_75,8,0.28125,0.8484515953044143,1.40625,1.0008814457418695,0.9123878008380899,0.25,2.210526315789474,2.0,1.4,0.7,0.32338083338177726
adbm_76,12,0.1597222222222222,0.8693490465634116,1.3749999999999998,1.36158980296745,0.9025369525281559,0.3333333333333333,3.5454545454545454,2.0,2.1047227926078027,0.4134920634920635,0.4591336287667878
adbm_77,7,0.10204081632653061,0.935024437829149,1.1224489795918366,1.5577761927397231,1.058300524425836,0.42857142857142855,1.0,2.0,2.0,0.3333333333333333,0.2166535841157586
adbm_78,10,0.24,0.8241309505032041,1.4100000000000001,1.1653431646335017,0.837950173833242,0.2,2.8275862068965516,2.0,3.4943820224719104,0.6304761904761905,0.39699961669021044
adbm_79,7,0.16326530612244897,0.8200890064018351,1.2244897959183674,1.46664299223317,1.0631125685144227,0.42857142857142855,1.375,2.0,3.4210526315789473,0.619047619047619,0.25824593336415846
adbm_8,13,0.15976331360946747,0.8802956614475317,1.2485207100591715,1.1539082909183134,0.9315876286377028,0.23076923076923078,4.066666666666666,1.0,1.3595505617977526,0.49999999999999994,0.22083978023336773
adbm_80,8,0.140625,0.9131393314998774,1.1875,1.1079319597850887,1.0008814457418695,0.375,1.4285714285714286,2.0,1.666666666666667,0.24999999999999997,0.1743041721945991
adbm_81,8,0.109375,0.9285830425913346,1.125,0.9537405261671773,1.2868475730966893,0.5,2.3333333333333335,1.0,1.0,0.375,0.09834947405868039
adbm_82,13,0.21893491124260356,0.834720100405704,1.378698224852071,1.0427319850735366,0.9278841938438726,0.23076923076923078,4.0606060606060606,2.0,2.478445529836484,0.6978021978021978,0.3271862433233839
adbm_83,8,0.09375,0.9574783912006147,1.125,1.3801311186847085,0.9428090415820631,0.375,1.2,2.0,1.4000000000000001,0.29166666666666663,0.18819316317727025
adbm_84,9,0.08641975308641975,0.9689453867561505,1.1358024691358026,1.2494896917525644,0.8571428571428571,0.3333333333333333,1.4,2.0,1.4545454545454546,0.25925925925925924,0.16265001215808886
adbm_85,12,0.2638888888888889,0.8366242628597814,1.3888888888888886,1.032828069039772,0.8172159160450936,0.16666666666666666,2.875,2.0,3.2905788876276953,0.6671957671957672,0.3286477219068896
adbm_86,15,0.21777777777777776,0.8424262331921165,1.3155555555555554,1.2593436115236871,0.7887092214327829,0.13333333333333333,3.7586206896551726,3.0,1.5403225806451613,0.5928330928330928,0.4007174216365236
adbm_87,7,0.12244897959183673,0.9574783912006147,1.163265306122449,1.2472191289246473,0.8050764858994133,0.2857142857142857,1.5,2.0,1.1875,0.3333333333333333,0.18070158058105026
adbm_88,5,0.04,NaN,1.04,2.23606797749979,2.23606797749979,0.8,0.25,2.0,4.0,0.0,NaN
adbm_89,8,0.09375,0.978081278530621,1.109375,0.6172133998483675,1.5532863266952466,0.625,1.2,2.0,0.3333333333333333,0.0,0.0
adbm_9,8,0.078125,0.9909839046364357,1.09375,1.1904380946285518,0.8280786712108252,0.375,1.25,2.0,1.823529411764706,0.0,0.13693063937629152
adbm_90,9,0.2222222222222222,0.8665917266934589,1.4814814814814814,1.224744871391589,0.82915619758885,0.2222222222222222,2.5714285714285716,2.0,3.2,0.6285714285714286,0.5379190413262789
adbm_91,11,0.2066115702479339,0.8550450817297038,1.305785123966942,0.9856571412007321,0.9856571412007319,0.2727272727272727,2.0357142857142856,2.0,1.624254473161034,0.47878787878787876,0.22878286167487122
