fw_ID,model,dist_model,outcome,failed
niche_53_10,Niche,9.643352266198827,Equilibrium,FALSE
cascade_53_10,Cascade,5.386356527638039,Equilibrium,FALSE
random_53_10,Random,6.394487888717727,Equilibrium,FALSE
maxent_53_10,MaxEnt,6.044793010217042,Equilibrium,FALSE
ltm_54_10,LTM,3.9309077259640315,Equilibrium,FALSE
atn_54_10,ATN,8.136306794704838,Equilibrium,FALSE
adbm_54_10,ADBM,5.048890446452916,Equilibrium,FALSE
niche_54_10,Niche,5.438077163550211,Equilibrium,FALSE
cascade_54_10,Cascade,3.274993975596553,Equilibrium,FALSE
random_54_10,Random,1.7411112813713623,Equilibrium,FALSE
maxent_54_10,MaxEnt,4.1150230105567225,Equilibrium,FALSE
ltm_55_10,LTM,13.511696205957314,Equilibrium,FALSE
atn_55_10,ATN,2.725163102686039,Equilibrium,FALSE
niche_55_10,Niche,3.8315719129686667,Equilibrium,FALSE
cascade_55_10,Cascade,3.7147826804814,Equilibrium,FALSE
maxent_55_10,MaxEnt,3.1067741423015143,Equilibrium,FALSE
atn_56_10,ATN,5.183397216436659,Equilibrium,FALSE
niche_56_10,Niche,4.445444556722018,Equilibrium,FALSE
cascade_56_10,Cascade,9.276284846949947,Equilibrium,FALSE
random_56_10,Random,4.653340620360599,Equilibrium,FALSE
maxent_56_10,MaxEnt,7.756484875716548,Equilibrium,FALSE
atn_57_10,ATN,5.472829466569591,Equilibrium,FALSE
adbm_57_10,ADBM,3.143773963260936,Equilibrium,FALSE
niche_57_10,Niche,4.493707723350874,Equilibrium,FALSE
cascade_57_10,Cascade,9.48693741199474,Equilibrium,FALSE
random_57_10,Random,2.6365381384847195,Equilibrium,FALSE
maxent_57_10,MaxEnt,4.628493070535231,Equilibrium,FALSE
ltm_58_10,LTM,4.837220065916026,Equilibrium,FALSE
atn_58_10,ATN,3.2283181464774406,Equilibrium,FALSE
adbm_58_10,ADBM,3.2787404692547892,Equilibrium,FALSE
niche_58_10,Niche,4.971606292540944,Equilibrium,FALSE
cascade_58_10,Cascade,8.368982328050595,Equilibrium,FALSE
random_58_10,Random,3.2340690190768693,Equilibrium,FALSE
maxent_58_10,MaxEnt,3.5619925624751425,Equilibrium,FALSE
atn_59_10,ATN,9.969834510487438,Equilibrium,FALSE
adbm_59_10,ADBM,2.9313551256884463,Equilibrium,FALSE
niche_59_10,Niche,5.703584912614412,Equilibrium,FALSE
cascade_59_10,Cascade,4.647536107240346,Equilibrium,FALSE
random_59_10,Random,2.2634983157713453,Equilibrium,FALSE
maxent_59_10,MaxEnt,6.0346646425260335,Equilibrium,FALSE
ltm_60_10,LTM,3.275865474014814,Equilibrium,FALSE
atn_60_10,ATN,2.915661975740145,Equilibrium,FALSE
adbm_60_10,ADBM,3.2585854057716865,Equilibrium,FALSE
niche_60_10,Niche,3.8953408253148454,Equilibrium,FALSE
cascade_60_10,Cascade,3.2652217179274547,Equilibrium,FALSE
maxent_60_10,MaxEnt,5.3597153645056315,Equilibrium,FALSE
ltm_61_10,LTM,3.6607954287261744,Equilibrium,FALSE
atn_61_10,ATN,2.876917277277065,Equilibrium,FALSE
adbm_61_10,ADBM,2.846570741475798,Equilibrium,FALSE
niche_61_10,Niche,3.8894626018595937,Equilibrium,FALSE
cascade_61_10,Cascade,4.656032185647642,Equilibrium,FALSE
ltm_62_10,LTM,2.866413614634179,Equilibrium,FALSE
atn_62_10,ATN,3.2033927424592847,Equilibrium,FALSE
adbm_62_10,ADBM,2.7808664856053134,Equilibrium,FALSE
niche_62_10,Niche,2.8725193622212317,Equilibrium,FALSE
cascade_62_10,Cascade,3.3583320553804397,Equilibrium,FALSE
maxent_62_10,MaxEnt,3.78029279664048,Equilibrium,FALSE
ltm_63_10,LTM,4.860997255879552,Equilibrium,FALSE
